# Title: June - August 2024 Contiguous U.S. County Average Temperature
# Units: Degrees Fahrenheit
# Missing: -99
# Note: Period of Record: 130 Years
ID,Name,State,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
TN-061,Grundy County,Tennessee,74.3,112,1.6,72.7
TN-063,Hamblen County,Tennessee,76.3,105,1.3,75
TN-065,Hamilton County,Tennessee,78.3,119,2.1,76.2
TN-067,Hancock County,Tennessee,74.6,102,1.2,73.4
TN-069,Hardeman County,Tennessee,78.2,82,0.5,77.7
TN-071,Hardin County,Tennessee,78.7,100,1.2,77.5
TN-073,Hawkins County,Tennessee,75.3,100,1.1,74.2
TN-075,Haywood County,Tennessee,78.5,84,0.5,78
TN-077,Henderson County,Tennessee,77.9,92,0.9,77
TN-079,Henry County,Tennessee,77.9,91,0.8,77.1
TN-081,Hickman County,Tennessee,77.7,116,1.8,75.9
TN-083,Houston County,Tennessee,77.8,106,1.5,76.3
TN-085,Humphreys County,Tennessee,77.9,111,1.6,76.3
TN-087,Jackson County,Tennessee,77.1,106,1.3,75.8
TN-089,Jefferson County,Tennessee,77.2,120,1.8,75.4
TN-091,Johnson County,Tennessee,69.7,116,1.7,68.1
TN-093,Knox County,Tennessee,77,105,1.3,75.7
TN-095,Lake County,Tennessee,78.7,80,0.3,78.4
TN-097,Lauderdale County,Tennessee,78.7,57,-0,78.7
TN-099,Lawrence County,Tennessee,77.5,115,1.8,75.7
TN-101,Lewis County,Tennessee,77,109,1.6,75.5
TN-103,Lincoln County,Tennessee,77.8,107,1.3,76.5
TN-105,Loudon County,Tennessee,77.2,100,1.1,76.1
TN-107,McMinn County,Tennessee,77.4,104,1.3,76.1
TN-109,McNairy County,Tennessee,78.5,93,0.9,77.6
TN-111,Macon County,Tennessee,76.5,90,1,75.5
TN-113,Madison County,Tennessee,78.1,88,0.7,77.5
TN-115,Marion County,Tennessee,76.6,114,1.7,74.9
TN-117,Marshall County,Tennessee,78,115,1.8,76.2
TN-119,Maury County,Tennessee,77.9,117,1.9,76
TN-121,Meigs County,Tennessee,77.5,109,1.5,76
TN-123,Monroe County,Tennessee,75.7,99,1,74.6
TN-125,Montgomery County,Tennessee,78.1,110,1.8,76.3
TN-127,Moore County,Tennessee,77.4,112,1.6,75.8
TN-129,Morgan County,Tennessee,73.8,91,1,72.8
TN-131,Obion County,Tennessee,78.4,86,0.5,77.8
TN-133,Overton County,Tennessee,75.4,108,1.4,74
TN-135,Perry County,Tennessee,78.1,109,1.5,76.6
TN-137,Pickett County,Tennessee,75.4,109,1.5,73.8
TN-139,Polk County,Tennessee,76.2,101,0.9,75.3
TN-141,Putnam County,Tennessee,75.8,111,1.4,74.4
TN-143,Rhea County,Tennessee,76.3,112,1.5,74.8
TN-145,Roane County,Tennessee,76.7,96,1.1,75.6
TN-147,Robertson County,Tennessee,77.1,91,0.9,76.2
TN-149,Rutherford County,Tennessee,78.4,115,1.9,76.5
TN-151,Scott County,Tennessee,73,91,1,72
TN-153,Sequatchie County,Tennessee,75.4,117,1.9,73.5
TN-155,Sevier County,Tennessee,73.8,96,1,72.9
TN-157,Shelby County,Tennessee,80.2,87,0.5,79.6
TN-159,Smith County,Tennessee,77.4,99,1,76.4
TN-161,Stewart County,Tennessee,77.5,94,0.9,76.6
TN-163,Sullivan County,Tennessee,74.4,114,1.6,72.9
TN-165,Sumner County,Tennessee,77.1,91,1,76.2
TN-167,Tipton County,Tennessee,79,57,-0.1,79.1
TN-169,Trousdale County,Tennessee,77.4,94,1,76.4
TN-171,Unicoi County,Tennessee,70.5,101,1,69.5
TN-173,Union County,Tennessee,75,90,0.8,74.2
TN-175,Van Buren County,Tennessee,74.7,112,1.4,73.3
TN-177,Warren County,Tennessee,76.2,109,1.5,74.8
TN-179,Washington County,Tennessee,74.6,105,1.2,73.4
TN-181,Wayne County,Tennessee,78,115,1.7,76.3
TN-183,Weakley County,Tennessee,78.2,89,0.7,77.5
TN-185,White County,Tennessee,75.5,105,1.2,74.3
TN-187,Williamson County,Tennessee,78.3,118,2.3,76.1
TN-189,Wilson County,Tennessee,77.8,103,1.3,76.5
TX-001,Anderson County,Texas,82,68,0.1,81.9
TX-003,Andrews County,Texas,83.6,128,4.1,79.5
TX-005,Angelina County,Texas,82.8,107,1.3,81.5
TX-007,Aransas County,Texas,85.8,128,2.8,83
TX-009,Archer County,Texas,85.4,115,2.3,83.1
TX-011,Armstrong County,Texas,82.3,129,4.7,77.6
TX-013,Atascosa County,Texas,85.8,117,1.6,84.2
TX-015,Austin County,Texas,84.7,124,2.1,82.6
TX-017,Bailey County,Texas,79.2,126,3.4,75.8
TX-019,Bandera County,Texas,83.3,124,2.4,80.9
TX-021,Bastrop County,Texas,85.2,121,2.3,82.8
TX-023,Baylor County,Texas,85.8,119,2.6,83.2
TX-025,Bee County,Texas,85.2,118,1.5,83.7
TX-027,Bell County,Texas,84.2,111,1.9,82.3
TX-029,Bexar County,Texas,85.6,124,2.4,83.2
TX-031,Blanco County,Texas,83.8,114,1.9,81.9
TX-033,Borden County,Texas,85,128,3.9,81
TX-035,Bosque County,Texas,83.9,98,1.1,82.8
TX-037,Bowie County,Texas,81.9,104,1.3,80.6
TX-039,Brazoria County,Texas,83.9,118,1.9,82
TX-041,Brazos County,Texas,83.9,102,1.1,82.8
TX-043,Brewster County,Texas,83.6,126,4,79.6
TX-045,Briscoe County,Texas,82.9,127,4.1,78.8
TX-047,Brooks County,Texas,87,121,2.7,84.4
TX-049,Brown County,Texas,83.8,111,1.9,81.9
TX-051,Burleson County,Texas,84.2,112,1.5,82.7
TX-053,Burnet County,Texas,84.1,112,1.7,82.4
TX-055,Caldwell County,Texas,85.9,126,2.8,83.1
TX-057,Calhoun County,Texas,84.6,121,2,82.6
TX-059,Callahan County,Texas,84,118,2.4,81.6
TX-061,Cameron County,Texas,86.3,121,2.2,84.1
TX-063,Camp County,Texas,81.6,78,0.4,81.2
TX-065,Carson County,Texas,81.4,128,4.6,76.8
TX-067,Cass County,Texas,81.6,80,0.4,81.2
TX-069,Castro County,Texas,79.8,128,4.1,75.7
TX-071,Chambers County,Texas,83.6,122,1.8,81.7
TX-073,Cherokee County,Texas,81.7,73,0.2,81.5
TX-075,Childress County,Texas,85.1,123,3.4,81.7
TX-077,Clay County,Texas,84.9,110,2,83
TX-079,Cochran County,Texas,79.7,125,3.5,76.2
TX-081,Coke County,Texas,85.3,124,3.7,81.6
TX-083,Coleman County,Texas,84,117,2.5,81.5
TX-085,Collin County,Texas,85.1,120,3.1,82.1
TX-087,Collingsworth County,Texas,83.4,123,3.3,80.1
TX-089,Colorado County,Texas,85,124,2.4,82.6
TX-091,Comal County,Texas,84.7,122,2.3,82.4
TX-093,Comanche County,Texas,84,114,2,82
TX-095,Concho County,Texas,84.4,125,3.2,81.2
TX-097,Cooke County,Texas,84,108,1.8,82.2
TX-099,Coryell County,Texas,83.9,106,1.5,82.4
TX-101,Cottle County,Texas,84.9,120,2.8,82.1
TX-103,Crane County,Texas,86.4,127,4,82.4
TX-105,Crockett County,Texas,84.8,123,3.2,81.6
TX-107,Crosby County,Texas,82.9,127,3.8,79.1
TX-109,Culberson County,Texas,82.3,127,4.8,77.6
TX-111,Dallam County,Texas,77.5,122,2.9,74.6
TX-113,Dallas County,Texas,85,105,1.7,83.4
TX-115,Dawson County,Texas,83.4,127,3.5,79.8
TX-117,Deaf Smith County,Texas,79.4,129,4.4,75
TX-119,Delta County,Texas,82.5,94,1,81.4
TX-121,Denton County,Texas,85.3,111,2.3,83
TX-123,DeWitt County,Texas,85.5,121,2.3,83.2
TX-125,Dickens County,Texas,84.3,125,3.4,80.9
TX-127,Dimmit County,Texas,87.6,120,2.3,85.3
TX-129,Donley County,Texas,82.5,127,3.7,78.8
TX-131,Duval County,Texas,86.5,123,2.2,84.2
TX-133,Eastland County,Texas,84.1,117,2.3,81.8
TX-135,Ector County,Texas,84.6,126,4.1,80.5
TX-137,Edwards County,Texas,83.6,125,3.2,80.4
TX-139,Ellis County,Texas,84.4,88,0.9,83.5
TX-141,El Paso County,Texas,85.8,130,6,79.8
TX-143,Erath County,Texas,84.5,118,2.5,82
TX-145,Falls County,Texas,83.8,100,1.2,82.5
TX-147,Fannin County,Texas,83.6,112,2.2,81.4
TX-149,Fayette County,Texas,85.3,125,2.5,82.8
TX-151,Fisher County,Texas,85.4,124,3.6,81.8
TX-153,Floyd County,Texas,81.3,127,3.4,77.9
TX-155,Foard County,Texas,85.2,116,2.3,82.9
TX-157,Fort Bend County,Texas,84.7,123,2.4,82.3
TX-159,Franklin County,Texas,81.7,82,0.6,81.1
TX-161,Freestone County,Texas,83.3,88,0.8,82.5
TX-163,Frio County,Texas,86.3,121,2.2,84.2
TX-165,Gaines County,Texas,82.6,127,4,78.6
TX-167,Galveston County,Texas,84.1,119,2,82.1
TX-169,Garza County,Texas,85.1,128,4.1,80.9
TX-171,Gillespie County,Texas,82.4,117,2,80.4
TX-173,Glasscock County,Texas,84.3,125,3.6,80.7
TX-175,Goliad County,Texas,85.2,120,1.9,83.3
TX-177,Gonzales County,Texas,86.1,126,2.7,83.4
TX-179,Gray County,Texas,81.6,127,4.2,77.4
TX-181,Grayson County,Texas,84.1,113,2.1,82
TX-183,Gregg County,Texas,81.6,53,-0.3,81.9
TX-185,Grimes County,Texas,83.5,94,0.9,82.6
TX-187,Guadalupe County,Texas,85.8,125,2.6,83.3
TX-189,Hale County,Texas,80.8,128,3.8,77
TX-191,Hall County,Texas,84.5,124,3.6,80.9
TX-193,Hamilton County,Texas,84,113,1.9,82.1
TX-195,Hansford County,Texas,80.4,117,2.7,77.7
TX-197,Hardeman County,Texas,85.2,119,2.7,82.5
TX-199,Hardin County,Texas,82.9,122,1.7,81.2
TX-201,Harris County,Texas,84.6,124,2.2,82.4
TX-203,Harrison County,Texas,81.4,48,-0.5,81.9
TX-205,Hartley County,Texas,78.7,127,3.4,75.3
TX-207,Haskell County,Texas,85.9,119,3,82.8
TX-209,Hays County,Texas,84.5,120,2.1,82.4
TX-211,Hemphill County,Texas,81.7,123,3.4,78.4
TX-213,Henderson County,Texas,82.2,69,0.2,82.1
TX-215,Hidalgo County,Texas,87.6,125,2.5,85.1
TX-217,Hill County,Texas,84,80,0.6,83.4
TX-219,Hockley County,Texas,80.6,127,3.4,77.2
TX-221,Hood County,Texas,84.7,106,1.5,83.2
TX-223,Hopkins County,Texas,81.9,83,0.7,81.3
TX-225,Houston County,Texas,82.2,68,0,82.2
TX-227,Howard County,Texas,85.2,128,3.9,81.2
TX-229,Hudspeth County,Texas,82.3,128,4.9,77.4
TX-231,Hunt County,Texas,83.3,107,1.6,81.6
TX-233,Hutchinson County,Texas,82.5,128,4,78.4
TX-235,Irion County,Texas,84.6,123,3.5,81.1
TX-237,Jack County,Texas,84.1,107,2,82.1
TX-239,Jackson County,Texas,84.4,121,2,82.4
TX-241,Jasper County,Texas,82.3,121,1.6,80.7
TX-243,Jeff Davis County,Texas,79.7,127,4.8,74.9
TX-245,Jefferson County,Texas,83.6,125,2,81.6
TX-247,Jim Hogg County,Texas,87.2,122,2.6,84.6
TX-249,Jim Wells County,Texas,86.3,121,2.2,84.1
TX-251,Johnson County,Texas,83.9,89,0.8,83.1
TX-253,Jones County,Texas,85.2,118,2.7,82.5
TX-255,Karnes County,Texas,85.3,118,1.7,83.6
TX-257,Kaufman County,Texas,83.2,78,0.2,83
TX-259,Kendall County,Texas,83.3,122,2.1,81.2
TX-261,Kenedy County,Texas,86.5,125,2.8,83.7
TX-263,Kent County,Texas,85.8,126,3.9,81.8
TX-265,Kerr County,Texas,81.8,117,2.1,79.7
TX-267,Kimble County,Texas,82.5,120,2.5,80
TX-269,King County,Texas,85.5,124,3.1,82.4
TX-271,Kinney County,Texas,87.5,126,3.4,84.1
TX-273,Kleberg County,Texas,86.6,126,3.1,83.5
TX-275,Knox County,Texas,85.6,118,2.5,83.1
TX-277,Lamar County,Texas,82.6,100,1.6,81
TX-279,Lamb County,Texas,79.9,127,3.5,76.4
TX-281,Lampasas County,Texas,83.8,105,1.5,82.3
TX-283,La Salle County,Texas,87.1,122,2,85.2
TX-285,Lavaca County,Texas,85.4,123,2.7,82.7
TX-287,Lee County,Texas,84.4,113,1.9,82.5
TX-289,Leon County,Texas,82.7,74,0.3,82.4
TX-291,Liberty County,Texas,83.4,118,1.6,81.8
TX-293,Limestone County,Texas,83.5,93,0.9,82.6
TX-295,Lipscomb County,Texas,80.7,118,2.7,78
TX-297,Live Oak County,Texas,85.7,116,1.5,84.2
TX-299,Llano County,Texas,84.6,118,2.1,82.6
TX-301,Loving County,Texas,85.9,127,4.7,81.2
TX-303,Lubbock County,Texas,82,129,4.2,77.8
TX-305,Lynn County,Texas,82.8,128,3.9,78.9
TX-307,McCulloch County,Texas,84.1,124,2.8,81.3
TX-309,McLennan County,Texas,83.9,97,1.1,82.8
TX-311,McMullen County,Texas,86.3,115,1.7,84.6
TX-313,Madison County,Texas,82.9,74,0.3,82.7
TX-315,Marion County,Texas,81.4,51,-0.4,81.8
TX-317,Martin County,Texas,84.1,127,3.5,80.6
TX-319,Mason County,Texas,84.2,125,2.9,81.3
TX-321,Matagorda County,Texas,83.9,119,1.8,82.1
TX-323,Maverick County,Texas,88.3,121,2.7,85.6
TX-325,Medina County,Texas,85.8,125,2.8,83
TX-327,Menard County,Texas,83.1,124,3.2,79.9
TX-329,Midland County,Texas,84.6,126,3.7,80.9
TX-331,Milam County,Texas,84,107,1.6,82.4
TX-333,Mills County,Texas,83.5,110,1.7,81.8
TX-335,Mitchell County,Texas,86,127,4.3,81.7
TX-337,Montague County,Texas,84.3,111,2.1,82.2
TX-339,Montgomery County,Texas,83.8,114,1.4,82.4
TX-341,Moore County,Texas,80.5,126,3.5,77
TX-343,Morris County,Texas,81.5,78,0.4,81.1
TX-345,Motley County,Texas,83.9,123,3.2,80.7
TX-347,Nacogdoches County,Texas,82.3,92,1,81.3
TX-349,Navarro County,Texas,84.2,90,1,83.2
TX-351,Newton County,Texas,82.4,123,1.8,80.6
TX-353,Nolan County,Texas,84.6,125,4,80.6
TX-355,Nueces County,Texas,86.4,127,2.9,83.5
TX-357,Ochiltree County,Texas,80.5,116,2.7,77.8
TX-359,Oldham County,Texas,80,127,3.7,76.3
TX-361,Orange County,Texas,83.6,127,2.3,81.3
TX-363,Palo Pinto County,Texas,85.1,118,2.4,82.7
TX-365,Panola County,Texas,81.8,68,0.1,81.7
TX-367,Parker County,Texas,84.5,106,1.6,82.9
TX-369,Parmer County,Texas,79.6,128,4.4,75.1
TX-371,Pecos County,Texas,84.3,127,4.1,80.2
TX-373,Polk County,Texas,82.8,105,1.1,81.7
TX-375,Potter County,Texas,81.5,129,4.5,77
TX-377,Presidio County,Texas,82.9,127,4.5,78.4
TX-379,Rains County,Texas,82,80,0.3,81.7
TX-381,Randall County,Texas,80.6,129,4.7,75.9
TX-383,Reagan County,Texas,84.4,124,3.5,80.8
TX-385,Real County,Texas,83,126,2.7,80.3
TX-387,Red River County,Texas,82,104,1.5,80.5
TX-389,Reeves County,Texas,85.6,127,4.8,80.8
TX-391,Refugio County,Texas,85.2,125,2.1,83.1
TX-393,Roberts County,Texas,82.3,126,4.1,78.2
TX-395,Robertson County,Texas,83.4,93,0.9,82.5
TX-397,Rockwall County,Texas,84.3,112,1.8,82.4
TX-399,Runnels County,Texas,84.8,123,2.9,81.8
TX-401,Rusk County,Texas,81.6,72,0,81.6
TX-403,Sabine County,Texas,82.1,114,1.5,80.7
TX-405,San Augustine County,Texas,82.2,110,1.3,81
TX-407,San Jacinto County,Texas,83.1,100,0.9,82.2
TX-409,San Patricio County,Texas,85.6,124,2.1,83.5
TX-411,San Saba County,Texas,84,118,2,82
TX-413,Schleicher County,Texas,83.3,120,3,80.3
TX-415,Scurry County,Texas,85.3,128,4.2,81.2
TX-417,Shackelford County,Texas,85.5,121,2.9,82.6
TX-419,Shelby County,Texas,81.8,86,0.7,81.2
TX-421,Sherman County,Texas,79.3,117,2.6,76.7
TX-423,Smith County,Texas,81.4,70,0.1,81.4
TX-425,Somervell County,Texas,84.4,101,1.3,83.1
TX-427,Starr County,Texas,88,122,2.5,85.4
TX-429,Stephens County,Texas,85.2,120,2.7,82.5
TX-431,Sterling County,Texas,85,125,4,81
TX-433,Stonewall County,Texas,85.7,124,3.2,82.5
TX-435,Sutton County,Texas,83,121,2.7,80.3
TX-437,Swisher County,Texas,80.8,128,4.2,76.6
TX-439,Tarrant County,Texas,85.2,106,1.6,83.6
TX-441,Taylor County,Texas,84.4,122,3,81.5
TX-443,Terrell County,Texas,86.1,127,3.4,82.7
TX-445,Terry County,Texas,81.8,126,3.6,78.2
TX-447,Throckmorton County,Texas,85.9,120,3,82.9
TX-449,Titus County,Texas,81.9,93,0.9,80.9
TX-451,Tom Green County,Texas,85,121,3.3,81.7
TX-453,Travis County,Texas,84.9,117,1.9,82.9
TX-455,Trinity County,Texas,82.7,84,0.5,82.2
TX-457,Tyler County,Texas,82.3,117,1.4,80.9
TX-459,Upshur County,Texas,81.4,63,-0,81.4
TX-461,Upton County,Texas,85.2,127,3.7,81.5
TX-463,Uvalde County,Texas,86.1,125,2.7,83.3
TX-465,Val Verde County,Texas,87.1,126,3.4,83.6
TX-467,Van Zandt County,Texas,81.8,68,-0.2,81.9
TX-469,Victoria County,Texas,84.8,120,1.9,82.9
TX-471,Walker County,Texas,82.9,77,0.2,82.6
TX-473,Waller County,Texas,84.5,123,2,82.6
TX-475,Ward County,Texas,86.6,127,4.4,82.2
TX-477,Washington County,Texas,84.3,113,1.7,82.7
TX-479,Webb County,Texas,87.7,124,2.3,85.4
TX-481,Wharton County,Texas,84.7,123,2.3,82.5
TX-483,Wheeler County,Texas,82.3,124,3.6,78.7
TX-485,Wichita County,Texas,85.5,118,2.6,82.9
TX-487,Wilbarger County,Texas,85.6,119,2.8,82.9
TX-489,Willacy County,Texas,86.5,124,2.4,84
TX-491,Williamson County,Texas,84.4,114,1.9,82.5
TX-493,Wilson County,Texas,85.5,121,1.8,83.7
TX-495,Winkler County,Texas,85.4,127,4.4,81
TX-497,Wise County,Texas,84.6,109,1.9,82.7
TX-499,Wood County,Texas,81.7,80,0.4,81.3
TX-501,Yoakum County,Texas,80.8,126,3.9,76.9
TX-503,Young County,Texas,85,117,2.4,82.6
TX-505,Zapata County,Texas,88.5,123,2.6,85.9
TX-507,Zavala County,Texas,87.2,119,2.3,85
UT-001,Beaver County,Utah,73.4,130,5.3,68.2
UT-003,Box Elder County,Utah,72.6,124,4,68.6
UT-005,Cache County,Utah,66.4,126,3.7,62.7
UT-007,Carbon County,Utah,68.2,126,3.9,64.3
UT-009,Daggett County,Utah,63.7,117,2.9,60.8
UT-011,Davis County,Utah,73.9,129,5.1,68.8
UT-013,Duchesne County,Utah,64.1,125,3.8,60.3
UT-015,Emery County,Utah,74.9,126,4.1,70.8
UT-017,Garfield County,Utah,72.1,130,4.9,67.1
UT-019,Grand County,Utah,75.8,127,4.5,71.4
UT-021,Iron County,Utah,72.4,130,5.2,67.1
UT-023,Juab County,Utah,74.8,128,4.2,70.6
UT-025,Kane County,Utah,76.4,130,5.4,71.1
UT-027,Millard County,Utah,75.9,130,4.7,71.2
UT-029,Morgan County,Utah,66.5,128,4.4,62.1
UT-031,Piute County,Utah,65.9,130,4.7,61.2
UT-033,Rich County,Utah,63.6,128,4.1,59.5
UT-035,Salt Lake County,Utah,73.4,129,5.1,68.3
UT-037,San Juan County,Utah,77.2,130,4.5,72.7
UT-039,Sanpete County,Utah,66.8,128,4.2,62.6
UT-041,Sevier County,Utah,67.2,129,4.1,63.1
UT-043,Summit County,Utah,59.9,125,3.6,56.3
UT-045,Tooele County,Utah,75.9,128,3.9,72
UT-047,Uintah County,Utah,70.8,127,4.2,66.6
UT-049,Utah County,Utah,70.3,129,4.3,66
UT-051,Wasatch County,Utah,62.8,128,3.7,59
UT-053,Washington County,Utah,79.3,130,5.3,74
UT-055,Wayne County,Utah,75.9,130,5.2,70.6
UT-057,Weber County,Utah,70,129,4.9,65.2
VT-001,Addison County,Vermont,68.4,128,3.4,65
VT-003,Bennington County,Vermont,66.3,129,4,62.3
VT-005,Caledonia County,Vermont,65.9,128,3.1,62.8
VT-007,Chittenden County,Vermont,69.3,129,4,65.3
VT-009,Essex County,Vermont,64.7,127,2.9,61.8
VT-011,Franklin County,Vermont,68.8,128,3.8,65
VT-013,Grand Isle County,Vermont,70.9,127,3.6,67.3
VT-015,Lamoille County,Vermont,66.4,128,3.8,62.6
VT-017,Orange County,Vermont,66.7,128,3.2,63.5
VT-019,Orleans County,Vermont,65.7,128,3.1,62.6
VT-021,Rutland County,Vermont,66.9,129,3.3,63.6
VT-023,Washington County,Vermont,66.4,128,3.6,62.8
VT-025,Windham County,Vermont,67.6,129,3.8,63.8
VT-027,Windsor County,Vermont,67.5,129,4,63.6
VA-001,Accomack County,Virginia,76.9,116,2.2,74.6
VA-003,Albemarle County,Virginia,77,129,4,73
VA-005,Alleghany County,Virginia,71.7,111,1.3,70.4
VA-007,Amelia County,Virginia,76.9,114,1.8,75
VA-009,Amherst County,Virginia,75.2,127,2.7,72.5
VA-011,Appomattox County,Virginia,76.3,127,2.8,73.5
VA-013,Arlington County,Virginia,78.2,129,4.1,74.1
VA-015,Augusta County,Virginia,73.2,129,3.2,70
VA-017,Bath County,Virginia,71,116,1.7,69.3
VA-019,Bedford County,Virginia,75.8,124,2.5,73.3
VA-021,Bland County,Virginia,69.1,99,1.1,68.1
VA-023,Botetourt County,Virginia,74.3,120,1.8,72.5
VA-025,Brunswick County,Virginia,77.1,113,1.7,75.4
VA-027,Buchanan County,Virginia,72.3,103,1.2,71.2
VA-029,Buckingham County,Virginia,77.7,129,3.7,74.1
VA-031,Campbell County,Virginia,76.1,128,2.6,73.5
VA-033,Caroline County,Virginia,77.7,127,3.1,74.6
VA-035,Carroll County,Virginia,70.7,122,1.9,68.8
VA-036,Charles City County,Virginia,78.4,118,1.8,76.6
VA-037,Charlotte County,Virginia,76.4,123,2.2,74.2
VA-041,Chesterfield County,Virginia,77.4,115,1.7,75.7
VA-043,Clarke County,Virginia,74.8,126,2.8,72
VA-045,Craig County,Virginia,71.9,118,1.9,70.1
VA-047,Culpeper County,Virginia,77,129,3.8,73.2
VA-049,Cumberland County,Virginia,78,128,3.4,74.7
VA-051,Dickenson County,Virginia,71.7,88,0.7,71
VA-053,Dinwiddie County,Virginia,77,105,1.4,75.6
VA-057,Essex County,Virginia,77.9,125,2.5,75.4
VA-059,Fairfax County,Virginia,77.9,129,4.2,73.7
VA-061,Fauquier County,Virginia,76.1,129,3.6,72.6
VA-063,Floyd County,Virginia,70.1,118,2,68.1
VA-065,Fluvanna County,Virginia,78.7,130,4.6,74.1
VA-067,Franklin County,Virginia,75.1,121,2.1,72.9
VA-069,Frederick County,Virginia,73.9,126,2.7,71.2
VA-071,Giles County,Virginia,71,120,1.9,69.2
VA-073,Gloucester County,Virginia,78.2,120,2.1,76.1
VA-075,Goochland County,Virginia,78.1,128,3.4,74.7
VA-077,Grayson County,Virginia,68.3,118,1.7,66.6
VA-079,Greene County,Virginia,75.4,129,3.9,71.5
VA-081,Greensville County,Virginia,77.6,111,1.6,76
VA-083,Halifax County,Virginia,76.9,124,2.3,74.6
VA-085,Hanover County,Virginia,77.7,127,2.6,75.2
VA-087,Henrico County,Virginia,78,123,2.1,75.9
VA-089,Henry County,Virginia,76,119,1.9,74.1
VA-091,Highland County,Virginia,68.7,123,2.3,66.4
VA-093,Isle of Wight County,Virginia,77.9,111,1.6,76.3
VA-095,James City County,Virginia,78.5,120,2.1,76.3
VA-097,King and Queen County,Virginia,77.8,121,2.3,75.6
VA-099,King George County,Virginia,78.5,129,3.8,74.8
VA-101,King William County,Virginia,77.9,122,2.2,75.7
VA-103,Lancaster County,Virginia,77.8,121,2.2,75.5
VA-105,Lee County,Virginia,73.6,101,1.2,72.5
VA-107,Loudoun County,Virginia,76.2,129,3.5,72.8
VA-109,Louisa County,Virginia,77.8,129,4,73.8
VA-111,Lunenburg County,Virginia,76.4,116,1.7,74.7
VA-113,Madison County,Virginia,75.3,129,3.8,71.5
VA-115,Mathews County,Virginia,78,119,2,76
VA-117,Mecklenburg County,Virginia,77.5,124,2.3,75.2
VA-119,Middlesex County,Virginia,78,120,2.2,75.8
VA-121,Montgomery County,Virginia,72.4,122,2.2,70.2
VA-125,Nelson County,Virginia,75.6,129,3.5,72.1
VA-127,New Kent County,Virginia,78.1,122,2.1,76
VA-131,Northampton County,Virginia,77.3,110,1.8,75.5
VA-133,Northumberland County,Virginia,77.8,124,2.6,75.2
VA-135,Nottoway County,Virginia,76.2,104,1.4,74.8
VA-137,Orange County,Virginia,77.6,130,4.2,73.4
VA-139,Page County,Virginia,73.6,129,3.6,70
VA-141,Patrick County,Virginia,73.8,120,1.9,71.9
VA-143,Pittsylvania County,Virginia,76,116,1.7,74.4
VA-145,Powhatan County,Virginia,77.7,127,2.7,75
VA-147,Prince Edward County,Virginia,76.4,122,2.1,74.3
VA-149,Prince George County,Virginia,78.1,115,1.6,76.5
VA-153,Prince William County,Virginia,78,129,4.3,73.7
VA-155,Pulaski County,Virginia,71.7,121,1.9,69.8
VA-157,Rappahannock County,Virginia,74.4,129,3.3,71.1
VA-159,Richmond County,Virginia,77.7,123,2.4,75.3
VA-161,Roanoke County,Virginia,74.5,123,2.5,72.1
VA-163,Rockbridge County,Virginia,73.6,121,2,71.6
VA-165,Rockingham County,Virginia,73,129,3.2,69.8
VA-167,Russell County,Virginia,71.4,101,1.2,70.1
VA-169,Scott County,Virginia,73.4,100,1,72.4
VA-171,Shenandoah County,Virginia,73.8,129,3.1,70.7
VA-173,Smyth County,Virginia,69.7,114,1.5,68.2
VA-175,Southampton County,Virginia,77.9,119,1.9,76
VA-177,Spotsylvania County,Virginia,77.4,129,3.9,73.5
VA-179,Stafford County,Virginia,78.2,129,4.4,73.7
VA-181,Surry County,Virginia,78.2,117,1.9,76.3
VA-183,Sussex County,Virginia,77.9,118,1.9,76
VA-185,Tazewell County,Virginia,69.1,104,1.2,67.9
VA-187,Warren County,Virginia,74,129,2.9,71.1
VA-191,Washington County,Virginia,72.2,112,1.5,70.7
VA-193,Westmoreland County,Virginia,78.2,127,3,75.2
VA-195,Wise County,Virginia,70.6,90,0.7,69.9
VA-197,Wythe County,Virginia,70.2,117,1.5,68.7
VA-199,York County,Virginia,78.5,121,2,76.5
VA-510,Alexandria City,Virginia,78.9,129,4.2,74.7
VA-520,Bristol City,Virginia,73.9,114,1.6,72.3
VA-530,Buena Vista City,Virginia,75.2,123,2.1,73.1
VA-540,Charlottesville City,Virginia,77.7,129,4,73.7
VA-550,Chesapeake City,Virginia,77.6,106,1.7,75.9
VA-570,Colonial Heights City,Virginia,77.8,110,1.3,76.5
VA-580,Covington City,Virginia,73.6,108,1.3,72.4
VA-590,Danville City,Virginia,76.9,111,1.4,75.5
VA-595,Emporia City,Virginia,77.8,110,1.6,76.2
VA-600,Fairfax City,Virginia,77.4,129,4.1,73.3
VA-610,Falls Church City,Virginia,77.5,129,4,73.4
VA-620,Franklin City,Virginia,77.8,118,1.7,76.1
VA-630,Fredericksburg City,Virginia,78,129,4.4,73.6
VA-640,Galax City,Virginia,70.4,118,1.8,68.6
VA-650,Hampton City,Virginia,78.4,110,1.6,76.8
VA-660,Harrisonburg City,Virginia,74.2,128,3.3,71
VA-670,Hopewell City,Virginia,78,111,1.3,76.7
VA-680,Lynchburg City,Virginia,76.3,128,2.9,73.4
VA-683,Manassas City,Virginia,78,129,4.3,73.8
VA-685,Manassas Park City,Virginia,78,130,4.3,73.7
VA-690,Martinsville City,Virginia,76.2,120,2,74.1
VA-700,Newport News City,Virginia,78.5,111,1.7,76.7
